Date : 2025-11-18 17:52:02
Directory : c:\Users\karen\Armor Echo\Assets\Scripts
Total : 165 files,  -30326 codes, -1147 comments, -3068 blanks, all -34541 lines

Languages
+-------------+------------+------------+------------+------------+------------+
| language    | files      | code       | comment    | blank      | total      |
+-------------+------------+------------+------------+------------+------------+
| JSON        |          6 |       -189 |          0 |         -2 |       -191 |
| Markdown    |         14 |     -1,228 |        -21 |       -474 |     -1,723 |
| UnityShader |         30 |     -3,591 |       -158 |       -896 |     -4,645 |
| C#          |         61 |     -4,624 |       -952 |     -1,561 |     -7,137 |
| XML         |         54 |    -20,694 |        -16 |       -135 |    -20,845 |
+-------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                                              | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                                 |        165 |    -30,326 |     -1,147 |     -3,068 |    -34,541 |
| ..                                                                                                                                                                                                |        165 |    -30,326 |     -1,147 |     -3,068 |    -34,541 |
| ..\AssetsFromUS                                                                                                                                                                                   |         33 |     -2,218 |       -197 |       -483 |     -2,898 |
| ..\AssetsFromUS\JMO Assets                                                                                                                                                                        |         26 |     -1,881 |       -170 |       -379 |     -2,430 |
| ..\AssetsFromUS\JMO Assets\WarFX                                                                                                                                                                  |         26 |     -1,881 |       -170 |       -379 |     -2,430 |
| ..\AssetsFromUS\JMO Assets\WarFX\Demo                                                                                                                                                             |          9 |       -681 |        -48 |       -142 |       -871 |
| ..\AssetsFromUS\JMO Assets\WarFX\Demo\Assets                                                                                                                                                      |          9 |       -681 |        -48 |       -142 |       -871 |
| ..\AssetsFromUS\JMO Assets\WarFX\Editor                                                                                                                                                           |          1 |       -163 |         -5 |        -26 |       -194 |
| ..\AssetsFromUS\JMO Assets\WarFX\Scripts                                                                                                                                                          |          4 |       -159 |        -24 |        -36 |       -219 |
| ..\AssetsFromUS\JMO Assets\WarFX\Shaders                                                                                                                                                          |         11 |       -731 |        -47 |       -140 |       -918 |
| ..\AssetsFromUS\JMO Assets\WarFX\Spawn System                                                                                                                                                     |          1 |       -147 |        -46 |        -35 |       -228 |
| ..\AssetsFromUS\Mountain Terrain rocks and tree                                                                                                                                                   |          2 |       -104 |        -14 |        -38 |       -156 |
| ..\AssetsFromUS\Mountain Terrain rocks and tree\Script                                                                                                                                            |          2 |       -104 |        -14 |        -38 |       -156 |
| ..\AssetsFromUS\Mountain Terrain rocks and tree\Script\Camera                                                                                                                                     |          2 |       -104 |        -14 |        -38 |       -156 |
| ..\AssetsFromUS\Simple Water Shader                                                                                                                                                               |          3 |       -205 |         -9 |        -53 |       -267 |
| ..\AssetsFromUS\Simple Water Shader\Info                                                                                                                                                          |          2 |       -138 |         -1 |        -35 |       -174 |
| ..\AssetsFromUS\Simple Water Shader\Info\Scripts                                                                                                                                                  |          2 |       -138 |         -1 |        -35 |       -174 |
| ..\AssetsFromUS\Simple Water Shader\Info\Scripts (Files)                                                                                                                                          |          1 |        -12 |          0 |         -3 |        -15 |
| ..\AssetsFromUS\Simple Water Shader\Info\Scripts\Editor                                                                                                                                           |          1 |       -126 |         -1 |        -32 |       -159 |
| ..\AssetsFromUS\Simple Water Shader\Resources                                                                                                                                                     |          1 |        -67 |         -8 |        -18 |        -93 |
| ..\AssetsFromUS\WW2 Armed Forces Demo                                                                                                                                                             |          2 |        -28 |         -4 |        -13 |        -45 |
| ..\AssetsFromUS\WW2 Armed Forces Demo\Scripts                                                                                                                                                     |          2 |        -28 |         -4 |        -13 |        -45 |
| ..\Packages                                                                                                                                                                                       |         67 |    -21,918 |        -37 |       -608 |    -22,563 |
| ..\Packages\Microsoft.Extensions.DependencyInjection.9.0.0                                                                                                                                        |          5 |       -691 |          0 |        -18 |       -709 |
