Date : 2025-11-28 01:59:51
Directory : c:\Users\karen\Armor Echo\Assets\Scenes\Single\Game\Scripts
Total : 404 files,  -59885 codes, -6823 comments, -11434 blanks, all -78142 lines

Languages
+-------------+------------+------------+------------+------------+------------+
| language    | files      | code       | comment    | blank      | total      |
+-------------+------------+------------+------------+------------+------------+
| JSON        |          4 |       -187 |          0 |         -2 |       -189 |
| Markdown    |         14 |     -1,228 |        -21 |       -474 |     -1,723 |
| UnityShader |        124 |    -15,160 |     -3,470 |     -4,079 |    -22,709 |
| XML         |         54 |    -20,694 |        -16 |       -135 |    -20,845 |
| C#          |        208 |    -22,616 |     -3,316 |     -6,744 |    -32,676 |
+-------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                                              | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                                 |        404 |    -59,885 |     -6,823 |    -11,434 |    -78,142 |
| ..                                                                                                                                                                                                |        404 |    -59,885 |     -6,823 |    -11,434 |    -78,142 |
| ..\..                                                                                                                                                                                             |        404 |    -59,885 |     -6,823 |    -11,434 |    -78,142 |
| ..\..\..                                                                                                                                                                                          |        404 |    -59,885 |     -6,823 |    -11,434 |    -78,142 |
| ..\..\..\..                                                                                                                                                                                       |        403 |    -59,878 |     -6,823 |    -11,434 |    -78,135 |
| ..\..\..\..\AssetsFromUS                                                                                                                                                                          |         33 |     -2,241 |       -197 |       -483 |     -2,921 |
| ..\..\..\..\AssetsFromUS\JMO Assets                                                                                                                                                               |         26 |     -1,896 |       -170 |       -379 |     -2,445 |
| ..\..\..\..\AssetsFromUS\JMO Assets\WarFX                                                                                                                                                         |         26 |     -1,896 |       -170 |       -379 |     -2,445 |
| ..\..\..\..\AssetsFromUS\JMO Assets\WarFX\Demo                                                                                                                                                    |          9 |       -695 |        -48 |       -142 |       -885 |
| ..\..\..\..\AssetsFromUS\JMO Assets\WarFX\Demo\Assets                                                                                                                                             |          9 |       -695 |        -48 |       -142 |       -885 |
| ..\..\..\..\AssetsFromUS\JMO Assets\WarFX\Editor                                                                                                                                                  |          1 |       -163 |         -5 |        -26 |       -194 |
| ..\..\..\..\AssetsFromUS\JMO Assets\WarFX\Scripts                                                                                                                                                 |          4 |       -159 |        -24 |        -36 |       -219 |
| ..\..\..\..\AssetsFromUS\JMO Assets\WarFX\Shaders                                                                                                                                                 |         11 |       -731 |        -47 |       -140 |       -918 |
| ..\..\..\..\AssetsFromUS\JMO Assets\WarFX\Spawn System                                                                                                                                            |          1 |       -148 |        -46 |        -35 |       -229 |
| ..\..\..\..\AssetsFromUS\Mountain Terrain rocks and tree                                                                                                                                          |          2 |       -108 |        -14 |        -38 |       -160 |
| ..\..\..\..\AssetsFromUS\Mountain Terrain rocks and tree\Script                                                                                                                                   |          2 |       -108 |        -14 |        -38 |       -160 |
| ..\..\..\..\AssetsFromUS\Mountain Terrain rocks and tree\Script\Camera                                                                                                                            |          2 |       -108 |        -14 |        -38 |       -160 |
| ..\..\..\..\AssetsFromUS\Simple Water Shader                                                                                                                                                      |          3 |       -205 |         -9 |        -53 |       -267 |
| ..\..\..\..\AssetsFromUS\Simple Water Shader\Info                                                                                                                                                 |          2 |       -138 |         -1 |        -35 |       -174 |
| ..\..\..\..\AssetsFromUS\Simple Water Shader\Info\Scripts                                                                                                                                         |          2 |       -138 |         -1 |        -35 |       -174 |
| ..\..\..\..\AssetsFromUS\Simple Water Shader\Info\Scripts (Files)                                                                                                                                 |          1 |        -12 |          0 |         -3 |        -15 |
| ..\..\..\..\AssetsFromUS\Simple Water Shader\Info\Scripts\Editor                                                                                                                                  |          1 |       -126 |         -1 |        -32 |       -159 |
| ..\..\..\..\AssetsFromUS\Simple Water Shader\Resources                                                                                                                                            |          1 |        -67 |         -8 |        -18 |        -93 |
